"CVE_ID","SW_NAME","VENDOR","AFFECTED_RANGE","FIXED_VERSION","SEVERITY","CVSS_SCORE","CVSS_VECTOR","PUBLISHED_DATE","MODIFIED_DATE","KEV_YN","SUMMARY","REFERENCE_URL","SOURCE","ECOSYSTEM","COLLECTED_AT"
"CVE-2026-47627","Triton Inference Server","NVIDIA","*","","CRITICAL","9.8","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","20260818","20260818","N","[버전범위 불명확] Linux용 NVIDIA Triton 추론 서버에는 공격자가 경로 통과를 유발할 수 있는 취약점이 포함되어 있습니다. 공격이 성공하면 서비스 거부가 발생할 수 있습니다.","https://github.com/NVIDIA/product-security/tree/main/2026/5865","NVD","github","20260818211422"
"CVE-2026-64849","MLflow","Databricks","<3.15.0","3.15.0","CRITICAL","9.3","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:L/A:N","20260817","20260818","N","MLflow는 에이전트, 대규모 언어 모델 및 기계 학습 모델을 위한 오픈 소스 AI 엔지니어링 플랫폼입니다. 3.15.0 이전에는 인증되지 않은 POST /api/2.0/mlflow/webhooks/{id}/test 엔드포인트가 원래 URL에 대해서만 mlflow/utils/validation.py에서 _validate_webhook_url()을 호출하는 반면, mlflow/webhooks/delivery.py는 리디렉션을 따르고 검증된 주소를 고정하지 않고 호스트 이름을 다시 확인하므로 공격자가 내부 또는 클라우드 메타데이터 서비스에 도달하고 response_status 및 response_body. 이 문제는 버전 3.15.0에서 해결되었습니다.","https://github.com/mlflow/mlflow/commit/ba949522477cbd5915aa55d29b0cfad7d5ddf939","NVD+OSV+GHSA","pypi","20260818211506"
"CVE-2026-71539","n8n","n8n GmbH","<2.30.1","1.123.64","HIGH","8.9","CVSS:4.0/AV:N/AC:H/AT:P/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:L/SA:L/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X","20260818","20260818","N","n8n은 오픈 소스 워크플로 자동화 플랫폼입니다. 1.123.64, 2.29.8 및 2.30.1 이전 버전에서는 Git 노드 복제 작업을 통해 인증된 워크플로 사용자가 복제하기 전에 검증된 디렉터리를 심볼릭 링크로 교체할 수 있으며, 다시 시작한 후 사용자 정의 JavaScript 노드로 로드되고 서버에서 임의 코드를 실행하는 커뮤니티 노드 디렉터리에 제작된 저장소를 심을 수 있습니다. 이 문제는 버전 1.123.64, 2.29.8 및 2.30.1에서 해결되었습니다.","https://github.com/n8n-io/n8n/releases/tag/n8n@1.123.64","NVD","npm","20260818211422"
"CVE-2026-47628","Triton Inference Server","NVIDIA","*","","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","20260818","20260818","N","[버전범위 불명확] Linux용 NVIDIA Triton 추론 서버에는 공격자가 제한 없이 리소스를 할당할 수 있는 취약점이 포함되어 있습니다. 공격이 성공하면 서비스 거부가 발생할 수 있습니다.","https://github.com/NVIDIA/product-security/tree/main/2026/5865","NVD","github","20260818211422"
"CVE-2026-47629","Triton Inference Server","NVIDIA","*","","HIGH","7.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","20260818","20260818","N","[버전범위 불명확] Linux용 NVIDIA Triton 추론 서버에는 공격자가 부적절한 입력 유효성 검사를 유발할 수 있는 취약점이 포함되어 있습니다. 공격이 성공하면 서비스 거부가 발생할 수 있습니다.","https://github.com/NVIDIA/product-security/tree/main/2026/5865","NVD","github","20260818211422"
"CVE-2026-5497","vLLM","vLLM Project",">=0.8.0,<0.19.0","0.19.0","HIGH","7.5","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","20260611","20260818","N","vLLM은 `VideoMediaIO.load_base64()` 메서드의 제한되지 않은 프레임 수 처리로 인해 OOM(메모리 부족) 서비스 거부(DoS) 공격에 취약합니다. vLLM 버전 0.8.0 이상은 `VideoMediaIO.load_base64()` 메서드의 제한되지 않은 프레임 수 처리로 인해 메모리 부족(OOM) 서비스 거부(DoS) 공격에 취약합니다. 'video/jpeg' 데이터 URL을 처리할 때 이 메서드는 base64 데이터 문자열을 쉼표로 분할하여 프레임 수 제한을 적용하지 않고 개별 JPEG 프레임을 추출합니다. 공격자는 데이터 URL에 수천 개의 쉼표로 구분된 base64로 인코딩된 JPEG 프레임이 포함된 단일 API 요청을 작성하여 서버가 모든 프레임을 메모리로 디코딩하고 과도한 메모리 소비로 인해 충돌을 일으키는 방식으로 이를 악용할 수 있습니다. 이 취약점은 OpenAI 호환 채팅 완료 API를 통해 도달할 수 있으며 인증이 필요하지 않습니다.","https://github.com/advisories/GHSA-wcwg-c5fc-9vrc","OSV+GHSA","pypi","20260818211506"
"CVE-2026-69148","MLflow","Databricks","<3.15.0","3.15.0","HIGH","7.1","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N","20260817","20260818","N","MLflow는 에이전트, 대규모 언어 모델 및 기계 학습 모델을 위한 오픈 소스 AI 엔지니어링 플랫폼입니다. 3.15.0 이전에는 mlflow/server/handlers.py의 _validate_source_run() 또는 _validate_source_model()이 경로 포함만 확인한 후 CreateModelVersion이 run_id 또는 model_id를 허용하여 인증된 사용자가 다른 사용자의 아티팩트 디렉터리를 참조하는 모델 버전을 생성하고 필요한 READ 권한 없이 GET /model-versions/get-artifact를 통해 파일을 읽을 수 있도록 허용합니다. 이 문제는 버전 3.15.0에서 해결되었습니다.","https://github.com/mlflow/mlflow/commit/4bb7474771c3be808cd9e129defef9305f2869be","NVD","pypi","20260818211422"
"CVE-2026-69146","MLflow","Databricks",">=3.13.0,<3.15.0","3.15.0","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N","20260817","20260818","N","MLflow는 에이전트, 대규모 언어 모델 및 기계 학습 모델을 위한 오픈 소스 AI 엔지니어링 플랫폼입니다. 3.13.0부터 3.15.0까지, LogInputs는 mlflow/server/auth 패키지의 BEFORE_REQUEST_HANDLERS에 없으므로 인증된 사용자는 다른 사용자의 run_id에 대해 POST /api/2.0/mlflow/runs/log-inputs를 호출하고 공격자가 제어하는 ​​DatasetInput 레코드를 UPDATE 권한 없이 Dataset_inputs 계보 메타데이터에 삽입할 수 있습니다. 이 문제는 버전 3.15.0에서 해결되었습니다.","https://github.com/mlflow/mlflow/commit/5c34aec5669e2386b38b5ee0855cd61174e27693","NVD","pypi","20260818211422"
"CVE-2026-47606","Triton Inference Server","NVIDIA","*","","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N","20260818","20260818","N","[버전범위 불명확] Linux용 NVIDIA Triton 추론 서버에는 공격자가 절대 경로 통과를 유발할 수 있는 취약점이 포함되어 있습니다. 공격이 성공하면 코드가 실행되고 정보가 공개될 수 있습니다.","https://github.com/NVIDIA/product-security/tree/main/2026/5865","NVD","github","20260818211422"
"CVE-2026-73560","vLLM","vLLM Project","<0.26.0","0.26.0","MEDIUM","6.5","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","20260817","20260818","N","vLLM은 대규모 언어 모델을 위한 추론 및 제공 엔진입니다. 0.26.0 이전에는 vllm/transformers_utils/processors/mimo_v2_omni.py의 MiMoV2OmniMultiModalProcessor가 MediaConnector 대신 _fetch_image,requests.get 및 Image.open을 통해 공격자가 제어하는 이미지 및 오디오 문자열을 전달하여 allowed_media_domains 및 allowed_local_media_path 보호를 우회하고 vLLM에 액세스할 수 있는 임의 파일의 서버 측 요청 및 읽기를 허용했습니다. 프로세스. 이 문제는 버전 0.26.0에서 수정되었습니다.","https://github.com/vllm-project/vllm/commit/54503ecec0f3ac31e5ecfc5f28652e4cc42307b5","NVD","pypi","20260818211422"
